request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Toronto-gBAijo84,2024-07-25T05:54:21.192000Z,LakeShoreBlvdW/LongBranchAve--brxmg9ri,2024-07-25,Thursday,00:03,Toronto,b8ce9f7014a12acd13872c96630dc107,Lake Shore Blvd W / Long Branch Ave,9,2
Toronto-xUYJsriG,2024-07-25T05:54:20.988000Z,SecondSt/LakeShoreBlvdW--DGcQfgax,2024-07-25,Thursday,00:03,Toronto,7e1ef79ac24de4ac7eded230e7caeff4,Second St / Lake Shore Blvd W,14,0
Toronto-kGwYHAD7,2024-07-25T05:54:21.005000Z,BloorStW/DundasStW(2)--OFbfOHyU,2024-07-25,Thursday,00:03,Toronto,71cf95ad04d0a455045bcc030c7dd282,Bloor St W / Dundas St W (2),7,8
Toronto-C0r4eHtd,2024-07-25T05:54:20.942000Z,ViewmountPark--WRJynXGp,2024-07-25,Thursday,00:03,Toronto,323fcb6c6ca04b1cc1ca2b361adb3217,Viewmount Park,0,15
Toronto-VdFfUNtP,2024-07-25T05:54:20.965000Z,SixthSt/LakeShoreBlvdW--pmuYnqg4,2024-07-25,Thursday,00:03,Toronto,452b30fbf0fc84eedbd3a7723bdafea0,Sixth St / Lake Shore Blvd W,12,1
Toronto-JQKgXQRJ,2024-07-25T05:54:22.562000Z,QueenStW/JohnSt--WiqG3BiA,2024-07-25,Thursday,00:03,Toronto,14971ec1c8aa07165b67710a2afb84c2,Queen St W / John St,4,15
Toronto-T5fCDDew,2024-07-25T05:54:18.774000Z,MaudSt/AdelaideStW--LuroIxKX,2024-07-25,Thursday,00:03,Toronto,2383fa5f5c21140fe68f8b6dda91a1b1,Maud St / Adelaide St W,5,10
Toronto-vBwejJfA,2024-07-25T05:54:18.768000Z,YorkRecreationCentre--PaMKC9s9,2024-07-25,Thursday,00:03,Toronto,d926a243600989278d9df1e9156a8ac5,York Recreation Centre,2,20
Toronto-DBMF8MX7,2024-07-25T05:54:18.772000Z,TretheweyDr/BlackCreekDr--8BKJUTBo,2024-07-25,Thursday,00:03,Toronto,25beb3f096bca69d14c865774e03b0e8,Trethewey Dr / Black Creek Dr,2,13
Toronto-yuBnqql3,2024-07-25T05:54:22.836000Z,KeeleSt/IngramDr--smuMuR3C,2024-07-25,Thursday,00:03,Toronto,5fc306e019cf6a10e5f8096acfc2c910,Keele St / Ingram Dr,0,11
